dish_name,protein_g,fibre_g,fat_g,carbs_g,sugar_g,sodium_mg,serving_note,evidence_confidence,owner,method
Makki Ki Roti,3,4,3,24,1,5,1 piece ~60g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Paneer Tikka,14,1,15,6,3,350,~100g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Amritsari Fish Fry,20,1,12,8,1,400,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Palak Paneer,12,4,18,10,3,450,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Paneer Butter Masala,13,2,22,14,6,550,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Shahi Paneer,12,2,24,15,7,500,~200g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Chicken Tikka,25,0,10,4,2,450,~150g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Seekh Kebab,22,1,16,5,1,500,~150g (3-4 pcs),Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Kadhi Pakora,8,2,10,18,4,450,~250g serving,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Naan,6,1,5,36,2,400,1 piece ~90g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
Garlic Naan,6,1,7,38,2,420,1 piece ~100g,Medium,"AI-researched (Claude Sonnet 5, backlog closeout batch 2)","AI-estimated per-serving macros from established Indian food-composition knowledge (not a lab-measured or live-cited source); recommend a dietitian spot-check before using for medical/clinical claims."
