meal_class_code,dish_name,diet_type,slot_group
BF_STEAMED_FERMENTED_LIGHT,Idli,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,Rava idli,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,Khaman dhokla,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,White dhokla,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,Idiyappam,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,Sannas,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,Pundi gatti,veg,Breakfast
BF_STEAMED_FERMENTED_LIGHT,Kanchipuram idli,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Plain dosa,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Masala dosa,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Set dosa,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Neer dosa,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Uttapam,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Appam,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Adai,veg,Breakfast
BF_FERMENTED_CREPE_PAN,Pesarattu,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Kanda poha,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Batata poha,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Indori poha,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Chuda matar,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Chura dahi gur,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Aval upma,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Chirer pulao,veg,Breakfast
BF_POHA_CHIVDA_LIGHT,Dadpe pohe,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Rava upma,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Vegetable upma,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Dalia upma,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Broken wheat porridge,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Sevai upma,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Lapsi,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Ragi upma,veg,Breakfast
BF_UPMA_DALIA_SEVAI,Sooji vegetable porridge,veg,Breakfast
BF_STUFFED_FLATBREAD,Aloo paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Gobi paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Mooli paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Paneer paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Sattu paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Methi paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Pyaz paratha,veg,Breakfast
BF_STUFFED_FLATBREAD,Bathua paratha,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Phulka with aloo sabzi,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Roti bhaji,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Methi thepla curd,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Jowar bhakri chutney,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Chapati upma,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Parotta kurma,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Tawa roti pickle,veg,Breakfast
BF_PLAIN_FLATBREAD_SUBZI,Bajra rotla curd,veg,Breakfast
BF_FRIED_FESTIVE,Poori bhaji,veg,Breakfast
BF_FRIED_FESTIVE,Luchi aloor dom,veg,Breakfast
BF_FRIED_FESTIVE,Bedmi poori,veg,Breakfast
BF_FRIED_FESTIVE,Kachori sabzi,veg,Breakfast
BF_FRIED_FESTIVE,Chole bhature,veg,Breakfast
BF_FRIED_FESTIVE,Puri shrikhand,veg,Breakfast
BF_FRIED_FESTIVE,Mangalore buns,veg,Breakfast
BF_FRIED_FESTIVE,Sattu kachori,veg,Breakfast
BF_CHILLA_PROTEIN,Besan chilla,veg,Breakfast
BF_CHILLA_PROTEIN,Moong dal chilla,veg,Breakfast
BF_CHILLA_PROTEIN,Oats chilla,veg,Breakfast
BF_CHILLA_PROTEIN,Vegetable puda,veg,Breakfast
BF_CHILLA_PROTEIN,Paneer chilla,veg,Breakfast
BF_CHILLA_PROTEIN,Pesarattu,veg,Breakfast
BF_CHILLA_PROTEIN,Sprout chilla,veg,Breakfast
BF_CHILLA_PROTEIN,Jowar chilla,veg,Breakfast
BF_EGG_FAST,Masala omelette,egg,Breakfast
BF_EGG_FAST,Egg bhurji,egg,Breakfast
BF_EGG_FAST,Bread omelette,egg,Breakfast
BF_EGG_FAST,Boiled eggs,egg,Breakfast
BF_EGG_FAST,Egg paratha,egg,Breakfast
BF_EGG_FAST,Akuri,egg,Breakfast
BF_EGG_FAST,Egg dosa,egg,Breakfast
BF_EGG_FAST,Egg sandwich,egg,Breakfast
BF_BREAD_MODERN_FAST,Vegetable sandwich,veg,Breakfast
BF_BREAD_MODERN_FAST,Toast butter jam,veg,Breakfast
BF_BREAD_MODERN_FAST,Peanut butter toast,veg,Breakfast
BF_BREAD_MODERN_FAST,Cornflakes milk,veg,Breakfast
BF_BREAD_MODERN_FAST,Cheese toast,veg,Breakfast
BF_BREAD_MODERN_FAST,Banana toast,veg,Breakfast
BF_BREAD_MODERN_FAST,Jam bread,veg,Breakfast
BF_BREAD_MODERN_FAST,Club sandwich,veg,Breakfast
BF_OATS_MUESLI_FIT,Oats porridge,veg,Breakfast
BF_OATS_MUESLI_FIT,Overnight oats,veg,Breakfast
BF_OATS_MUESLI_FIT,Muesli curd bowl,veg,Breakfast
BF_OATS_MUESLI_FIT,Smoothie bowl,veg,Breakfast
BF_OATS_MUESLI_FIT,Ragi porridge,veg,Breakfast
BF_OATS_MUESLI_FIT,Quinoa poha,veg,Breakfast
BF_OATS_MUESLI_FIT,Oats idli,veg,Breakfast
BF_OATS_MUESLI_FIT,Millet flakes bowl,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Sprouts chaat,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Fruit bowl,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Fruit curd bowl,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Dahi chana,veg,Breakfast
BF_SPROUTS_FRUIT_CURD,Soaked nuts banana,veg,Breakfast
