state_ut,nonveg_intensity,default_omnivore_meals_week,egg_meals_week_default,chicken_meals_week_default,fish_or_seafood_meals_week_default,mutton_or_red_meat_meals_week_default,preferred_nonveg_classes
Andhra Pradesh,High,3.0,3,2.0,1,1,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_CHICKEN_BIRYANI_PULAO|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
Arunachal Pradesh,Very high,4.0,3,2.0,2,1,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
Assam,Very high,4.0,3,2.0,2,1,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
Bihar,Moderate,2.0,2,1.0,1,1,LD_FISH_CURRY_RICE|LD_BENGALI_FISH_MEAL|LD_EGG_CURRY_BHURJI|LD_CHICKEN_HOME_CURRY|LD_FISH_FRY_MEAL
Chhattisgarh,Moderate,2.0,2,1.0,1,1,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
Goa,Very high,4.0,3,2.0,2,1,LD_FISH_CURRY_RICE|LD_PRAWN_CRAB_COASTAL|LD_FISH_FRY_MEAL|LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI
Gujarat,Very low,0.5,1,0.5,0,0,LD_EGG_CURRY_BHURJI|LD_SUNDAY_OUTSIDE_NONVEG
Haryana,Low,1.0,2,1.0,0,0,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY|LD_TANDOORI_GRILL_NONVEG
Himachal Pradesh,Moderate,2.0,2,1.0,1,1,LD_MUTTON_SUNDAY_CURRY|LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_NONVEG_LIGHT_SOUP_STEW
Jharkhand,Moderate,2.0,2,1.0,1,1,LD_FISH_CURRY_RICE|LD_BENGALI_FISH_MEAL|LD_EGG_CURRY_BHURJI|LD_CHICKEN_HOME_CURRY|LD_FISH_FRY_MEAL
Karnataka,High,3.0,3,2.0,1,1,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_CHICKEN_BIRYANI_PULAO|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
Kerala,Very high,4.0,3,2.0,2,1,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_CHICKEN_BIRYANI_PULAO|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
Madhya Pradesh,Moderate,2.0,2,1.0,1,1,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
Maharashtra,Moderate,2.0,2,1.0,1,1,LD_FISH_CURRY_RICE|LD_FISH_FRY_MEAL|LD_CHICKEN_HOME_CURRY|LD_MUTTON_SUNDAY_CURRY|LD_PRAWN_CRAB_COASTAL
Manipur,Very high,4.0,3,2.0,2,1,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
Meghalaya,Very high,4.0,3,2.0,2,1,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
Mizoram,Very high,4.0,3,2.0,2,1,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
Nagaland,Very high,4.0,3,2.0,2,1,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
Odisha,High,3.0,3,2.0,1,1,LD_FISH_CURRY_RICE|LD_BENGALI_FISH_MEAL|LD_EGG_CURRY_BHURJI|LD_CHICKEN_HOME_CURRY|LD_FISH_FRY_MEAL
Punjab,Low,1.0,2,1.0,0,0,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY|LD_TANDOORI_GRILL_NONVEG
Rajasthan,Very low,0.5,1,0.5,0,0,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY|LD_TANDOORI_GRILL_NONVEG
Sikkim,High,3.0,3,2.0,1,1,LD_MUTTON_SUNDAY_CURRY|LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_NONVEG_LIGHT_SOUP_STEW
Tamil Nadu,High,3.0,3,2.0,1,1,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_CHICKEN_BIRYANI_PULAO|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
Telangana,High,3.0,3,2.0,1,1,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_CHICKEN_BIRYANI_PULAO|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
