dish_name,suggested_band,state_origin,why_flagged,sig_score,evidence_confidence,owner,method
Butter Chicken,RESOLVED (WP-21): national_icon,Punjab,tier_1 + user-facing + region_food_affinity=0.95,1.0,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Dal Makhani,RESOLVED (WP-21): state_icon,Punjab,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Sarson Ka Saag,RESOLVED (WP-21): state_icon,Punjab,tier_1 + user-facing + region_food_affinity=0.95 + combo primary role,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Tandoori Chicken,RESOLVED (WP-21): state_icon,Punjab,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Chole,RESOLVED (WP-21): state_icon,Punjab,tier_1 + user-facing + combo primary role,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Rajma,RESOLVED (WP-21): regional_hero,Punjab,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Aloo Gobhi,RESOLVED (WP-21): regional_hero,Punjab,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Aloo Paratha,RESOLVED (WP-21): regional_hero,Punjab,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Gobhi Paratha,RESOLVED (WP-21): regional_hero,Punjab,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Paneer Paratha,RESOLVED (WP-21): regional_hero,Punjab,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Dal Tadka,RESOLVED (WP-21): regional_hero,Punjab,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Bedmi Puri,RESOLVED (WP-21): regional_hero,Delhi,tier_1 + user-facing + region_food_affinity=0.90,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Aloo Sabzi (Delhi style),RESOLVED (WP-21): regional_hero,Delhi,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Dahi Bhalla,RESOLVED (WP-21): regional_hero,Delhi,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Chaat Papdi,RESOLVED (WP-21): regional_hero,Delhi,tier_1 + user-facing + region_food_affinity=0.85,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Nihari,RESOLVED (WP-21): state_icon,Delhi/UP,tier_1 + user-facing + region_food_affinity=0.85,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Biryani (Mughlai Chicken),RESOLVED (WP-21): regional_hero,Delhi/UP,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Galouti Kebab,RESOLVED (WP-21): state_icon,Lucknow/UP,tier_1 + user-facing + region_food_affinity=0.90,0.9,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Lucknowi Biryani,RESOLVED (WP-21): regional_hero,Lucknow/UP,tier_1 + user-facing + combo primary role,0.75,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
Hyderabadi Chicken Biryani,RESOLVED (WP-21): national_icon,Hyderabad,tier_1 + user-facing + region_food_affinity=0.95 + combo primary role,1.0,Medium,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review"
