state_id,state_ut,region_archetype,tier1_or_metro_proxy_cities,tier2_representative_cities,nonveg_intensity,primary_staple_base,breakfast_class_pool,weekday_lunch_class_pool,weekday_dinner_class_pool,weekend_special_class_pool,snack_class_pool,nonveg_class_pool
S01,Andhra Pradesh,SOUTH_RICE,"Visakhapatnam, Vijayawada","Guntur, Nellore, Kurnool",High,rice + millets,BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST|BF_EGG_FAST,LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE|LD_COCONUT_VEG_STEW|LD_SIMPLE_GREEN_VEG_SABZI|LD_RICE_PULAO_VEG|LD_LIGHT_KHICHDI,DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_KHICHDI_SOUP,LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN,SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_CHICKEN_BIRYANI_PULAO|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
S02,Arunachal Pradesh,NORTHEAST_RICE_MEAT,Itanagar / Guwahati metro influence,"Naharlagun, Pasighat",Very high,rice,BF_REGIONAL_NORTHEAST|BF_RICE_LEFTOVER_BREAKFAST|BF_EGG_FAST|BF_STEAMED_FERMENTED_LIGHT|BF_BREAD_MODERN_FAST,LD_NORTHEAST_VEG_STEAMED|LD_HIMALAYAN_THUKPA_MOMO|LD_DAL_RICE_COMFORT|LD_SIMPLE_GREEN_VEG_SABZI|LD_LIGHT_KHICHDI,DN_LIGHT_DAL_RICE|LD_NORTHEAST_VEG_STEAMED|LD_HIMALAYAN_THUKPA_MOMO|DN_NONVEG_HOME_DINNER|DN_KHICHDI_SOUP,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_HIMALAYAN_THUKPA_MOMO,SN_NORTHEAST_SNACK|SN_MOMO_NOODLES_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_NONVEG_SNACK,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
S03,Assam,NORTHEAST_RICE_MEAT,Guwahati,"Dibrugarh, Silchar, Jorhat",Very high,rice,BF_REGIONAL_NORTHEAST|BF_RICE_LEFTOVER_BREAKFAST|BF_EGG_FAST|BF_STEAMED_FERMENTED_LIGHT|BF_BREAD_MODERN_FAST,LD_NORTHEAST_VEG_STEAMED|LD_HIMALAYAN_THUKPA_MOMO|LD_DAL_RICE_COMFORT|LD_SIMPLE_GREEN_VEG_SABZI|LD_LIGHT_KHICHDI,DN_LIGHT_DAL_RICE|LD_NORTHEAST_VEG_STEAMED|LD_HIMALAYAN_THUKPA_MOMO|DN_NONVEG_HOME_DINNER|DN_KHICHDI_SOUP,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_HIMALAYAN_THUKPA_MOMO,SN_NORTHEAST_SNACK|SN_MOMO_NOODLES_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_NONVEG_SNACK,LD_NORTHEAST_SMOKED_PORK_MEAT|LD_CHICKEN_HOME_CURRY|LD_FISH_CURRY_RICE|LD_COMMUNITY_RED_MEAT|LD_EGG_CURRY_BHURJI
S04,Bihar,EAST_RICE_FISH,Patna,"Gaya, Bhagalpur, Muzaffarpur",Moderate,rice + wheat,BF_REGIONAL_BIHAR_EAST|BF_POHA_CHIVDA_LIGHT|BF_RICE_LEFTOVER_BREAKFAST|BF_STEAMED_FERMENTED_LIGHT|BF_EGG_FAST,LD_DAL_RICE_COMFORT|LD_BENGALI_VEG_DAL_BHAAT|LD_SIMPLE_GREEN_VEG_SABZI|LD_ODIA_DALMA_PAKHALA|LD_LIGHT_KHICHDI|LD_RAJMA_CHOLE_LEGUME,DN_LIGHT_DAL_RICE|LD_DAL_RICE_COMFORT|LD_BENGALI_VEG_DAL_BHAAT|LD_LIGHT_KHICHDI|DN_KHICHDI_SOUP,LD_BENGALI_FISH_MEAL|LD_ODIA_FISH_PAKHALA|LD_FESTIVE_THALI|LD_WEEKEND_SPECIAL_REGIONAL,SN_TEA_BISCUIT_RUSK|SN_STREET_CHAAT|SN_SWEET_REGIONAL|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,LD_FISH_CURRY_RICE|LD_BENGALI_FISH_MEAL|LD_EGG_CURRY_BHURJI|LD_CHICKEN_HOME_CURRY|LD_FISH_FRY_MEAL
S05,Chhattisgarh,CENTRAL_MIXED,Raipur,"Bhilai, Bilaspur, Korba",Moderate,wheat + rice + millets,BF_POHA_CHIVDA_LIGHT|BF_STUFFED_FLATBREAD|BF_UPMA_DALIA_SEVAI|BF_CHILLA_PROTEIN|BF_FRIED_FESTIVE,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_GOURD_PUMPKIN_LIGHT|LD_LIGHT_KHICHDI|LD_MILLET_ROTI_THALI|LD_SEMI_GRAVY_VEG|LD_RICE_PULAO_VEG,DN_LIGHT_ROTI_SABZI|DN_LIGHT_DAL_RICE|LD_DAL_ROTI_SABZI|LD_LIGHT_KHICHDI|LD_SIMPLE_GREEN_VEG_SABZI,LD_WEEKEND_SPECIAL_REGIONAL|LD_RAJMA_CHOLE_LEGUME|LD_PANEER_RICH_GRAVY|LD_FESTIVE_THALI,SN_NAMKEEN_CHIVDA|SN_STREET_CHAAT|SN_TEA_BISCUIT_RUSK|SN_FRIED_PAKORA_SAMOSA|SN_ROASTED_CHANA_NUTS,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY
S06,Goa,ISLAND_COASTAL,Panaji / Margao,"Vasco, Mapusa",Very high,rice + coconut + seafood,BF_FERMENTED_CREPE_PAN|BF_STEAMED_FERMENTED_LIGHT|BF_EGG_FAST|BF_BREAD_MODERN_FAST|BF_RICE_LEFTOVER_BREAKFAST,LD_COCONUT_VEG_STEW|LD_SOUTH_SAMBAR_RASAM|LD_DAL_RICE_COMFORT|LD_SIMPLE_GREEN_VEG_SABZI|LD_RICE_PULAO_VEG,DN_CURD_RICE_LIGHT|LD_COCONUT_VEG_STEW|DN_LIGHT_DAL_RICE|DN_NONVEG_HOME_DINNER|LD_SOUTH_SAMBAR_RASAM,LD_PRAWN_CRAB_COASTAL|LD_FISH_FRY_MEAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN,SN_TEA_BISCUIT_RUSK|SN_FRIED_PAKORA_SAMOSA|SN_STEAMED_SNACK|SN_NONVEG_SNACK|SN_FRUIT_CHAAT,LD_FISH_CURRY_RICE|LD_PRAWN_CRAB_COASTAL|LD_FISH_FRY_MEAL|LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI
S07,Gujarat,WEST_VEG,"Ahmedabad, Surat","Vadodara, Rajkot, Bhavnagar",Very low,wheat + rice + millet,BF_POHA_CHIVDA_LIGHT|BF_JAIN_BREAKFAST|BF_PLAIN_FLATBREAD_SUBZI|BF_STEAMED_FERMENTED_LIGHT|BF_CHILLA_PROTEIN,LD_GUJARATI_THALI|LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_KADHI_CURD_CURRY|LD_LIGHT_KHICHDI|LD_JAIN_NO_ROOT_MAIN|LD_MILLET_ROTI_THALI,DN_LIGHT_ROTI_SABZI|DN_LIGHT_DAL_RICE|LD_GUJARATI_THALI|LD_LIGHT_KHICHDI|LD_JAIN_NO_ROOT_MAIN,LD_GUJARATI_THALI|LD_FESTIVE_THALI|LD_PANEER_RICH_GRAVY|LD_FASTING_MAIN,SN_NAMKEEN_CHIVDA|SN_STEAMED_SNACK|SN_STREET_CHAAT|SN_SWEET_REGIONAL|SN_ROASTED_CHANA_NUTS,LD_EGG_CURRY_BHURJI|LD_SUNDAY_OUTSIDE_NONVEG
S08,Haryana,NORTH_WHEAT,"Gurugram, Faridabad","Panipat, Karnal, Hisar",Low,wheat + rice,BF_STUFFED_FLATBREAD|BF_PLAIN_FLATBREAD_SUBZI|BF_POHA_CHIVDA_LIGHT|BF_CHILLA_PROTEIN|BF_FRIED_FESTIVE,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_GOURD_PUMPKIN_LIGHT|LD_RAJMA_CHOLE_LEGUME|LD_KADHI_CURD_CURRY|LD_PANEER_HOME_DRY|LD_LIGHT_KHICHDI,DN_LIGHT_ROTI_SABZI|DN_LIGHT_DAL_RICE|LD_DAL_ROTI_SABZI|LD_LIGHT_KHICHDI,LD_PANEER_RICH_GRAVY|LD_PUNJABI_RICH_VEG|LD_FESTIVE_THALI|LD_WEEKEND_SPECIAL_REGIONAL,SN_TEA_BISCUIT_RUSK|SN_NAMKEEN_CHIVDA|SN_STREET_CHAAT|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_MUTTON_SUNDAY_CURRY|LD_TANDOORI_GRILL_NONVEG
S09,Himachal Pradesh,HIMALAYAN,Shimla,"Dharamshala, Solan, Mandi",Moderate,wheat + rice,BF_STUFFED_FLATBREAD|BF_UPMA_DALIA_SEVAI|BF_PLAIN_FLATBREAD_SUBZI|BF_CHILLA_PROTEIN|BF_BREAD_MODERN_FAST,LD_HIMALAYAN_THUKPA_MOMO|LD_DAL_ROTI_SABZI|LD_LIGHT_KHICHDI|LD_PANEER_HOME_DRY|LD_SIMPLE_GREEN_VEG_SABZI,DN_KHICHDI_SOUP|DN_LIGHT_DAL_RICE|LD_HIMALAYAN_THUKPA_MOMO|LD_DAL_ROTI_SABZI,LD_HIMALAYAN_THUKPA_MOMO|LD_WEEKEND_SPECIAL_REGIONAL|LD_MUTTON_SUNDAY_CURRY|LD_FESTIVE_THALI,SN_TEA_BISCUIT_RUSK|SN_MOMO_NOODLES_SNACK|SN_STREET_CHAAT|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,LD_MUTTON_SUNDAY_CURRY|LD_CHICKEN_HOME_CURRY|LD_EGG_CURRY_BHURJI|LD_NONVEG_LIGHT_SOUP_STEW
S10,Jharkhand,EAST_RICE_FISH,"Ranchi, Jamshedpur","Dhanbad, Bokaro, Deoghar",Moderate,rice + wheat,BF_REGIONAL_BIHAR_EAST|BF_POHA_CHIVDA_LIGHT|BF_RICE_LEFTOVER_BREAKFAST|BF_STEAMED_FERMENTED_LIGHT|BF_EGG_FAST,LD_DAL_RICE_COMFORT|LD_BENGALI_VEG_DAL_BHAAT|LD_SIMPLE_GREEN_VEG_SABZI|LD_ODIA_DALMA_PAKHALA|LD_LIGHT_KHICHDI|LD_RAJMA_CHOLE_LEGUME,DN_LIGHT_DAL_RICE|LD_DAL_RICE_COMFORT|LD_BENGALI_VEG_DAL_BHAAT|LD_LIGHT_KHICHDI|DN_KHICHDI_SOUP,LD_BENGALI_FISH_MEAL|LD_ODIA_FISH_PAKHALA|LD_FESTIVE_THALI|LD_WEEKEND_SPECIAL_REGIONAL,SN_TEA_BISCUIT_RUSK|SN_STREET_CHAAT|SN_SWEET_REGIONAL|SN_STEAMED_SNACK|SN_NAMKEEN_CHIVDA,LD_FISH_CURRY_RICE|LD_BENGALI_FISH_MEAL|LD_EGG_CURRY_BHURJI|LD_CHICKEN_HOME_CURRY|LD_FISH_FRY_MEAL
