dish_name,sig_score,band,evidence_confidence,coverage_confidence,owner,method,version,status
Butter Chicken,1.0,national_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Dal Makhani,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Sarson Ka Saag,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Makki Ki Roti,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Tandoori Chicken,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Paneer Tikka,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Amritsari Fish Fry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chole,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Rajma,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Palak Paneer,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Aloo Gobhi,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Paneer Butter Masala,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Shahi Paneer,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Tikka,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Seekh Kebab,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kadhi Pakora,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Aloo Paratha,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Gobhi Paratha,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Paneer Paratha,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Naan,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Garlic Naan,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
