cohort_id,state_ut,city_tier,main_cohort_id,sub_cohort_label,household_stage,cook_dependency,time_pressure,nonveg_mode,weekday_breakfast_class_mix,weekday_lunch_class_mix,weekday_snack_class_mix,weekday_dinner_class_mix,weekend_breakfast_class_mix,weekend_lunch_class_mix,weekend_snack_class_mix,weekend_dinner_class_mix
S01_T1_P01,Andhra Pradesh,Tier1_Metro,MC1,student_hostel_budget,single/flatmate,canteen/PG/low cook,high,default,BF_BREAD_MODERN_FAST|BF_POHA_CHIVDA_LIGHT|BF_UPMA_DALIA_SEVAI|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST,LD_ONE_POT_PRESSURE|LD_LEFTOVER_REUSE|LD_OUTSIDE_DELIVERY_INDIAN|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE|LD_DAL_ROTI_SABZI,SN_TEA_BISCUIT_RUSK|SN_MOMO_NOODLES_SNACK|SN_SOUTH_TIFFIN_SNACK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,DN_ONE_POT_DINNER|DN_LEFTOVER_THALI|DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_LIGHT_ROTI_SABZI,BF_BREAD_MODERN_FAST|BF_POHA_CHIVDA_LIGHT|BF_UPMA_DALIA_SEVAI|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST,LD_ONE_POT_PRESSURE|LD_LEFTOVER_REUSE|LD_OUTSIDE_DELIVERY_INDIAN|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_DAL_ROTI_SABZI,SN_TEA_BISCUIT_RUSK|SN_MOMO_NOODLES_SNACK|SN_SOUTH_TIFFIN_SNACK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,DN_ONE_POT_DINNER|DN_LEFTOVER_THALI|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
S01_T1_P02,Andhra Pradesh,Tier1_Metro,MC1,solo_young_professional,single,self cook + delivery,high,default,BF_POHA_CHIVDA_LIGHT|BF_STUFFED_FLATBREAD|BF_UPMA_DALIA_SEVAI|BF_FRIED_FESTIVE|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE,SN_NAMKEEN_CHIVDA|SN_STREET_CHAAT|SN_HEALTHY_PROTEIN_SNACK|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK,DN_LIGHT_ROTI_SABZI|DN_ONE_POT_DINNER|DN_WEEKEND_INDULGENCE|DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM,BF_POHA_CHIVDA_LIGHT|BF_STUFFED_FLATBREAD|BF_UPMA_DALIA_SEVAI|BF_FRIED_FESTIVE|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL,SN_NAMKEEN_CHIVDA|SN_STREET_CHAAT|SN_HEALTHY_PROTEIN_SNACK|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK,DN_LIGHT_ROTI_SABZI|DN_ONE_POT_DINNER|DN_WEEKEND_INDULGENCE|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI
S01_T1_P03,Andhra Pradesh,Tier1_Metro,MC1,working_woman_alone,single,self/cook partial,very high,default,BF_CHILLA_PROTEIN|BF_OATS_MUESLI_FIT|BF_POHA_CHIVDA_LIGHT|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI,LD_DAL_ROTI_SABZI|LD_MODERN_SALAD_BOWL|LD_ONE_POT_PRESSURE|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_KHICHDI_SOUP|DN_LOW_CARB_DINNER|DN_LIGHT_ROTI_SABZI|DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM,BF_CHILLA_PROTEIN|BF_OATS_MUESLI_FIT|BF_POHA_CHIVDA_LIGHT|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI,LD_DAL_ROTI_SABZI|LD_MODERN_SALAD_BOWL|LD_ONE_POT_PRESSURE|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_KHICHDI_SOUP|DN_LOW_CARB_DINNER|DN_LIGHT_ROTI_SABZI|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI
S01_T1_P04,Andhra Pradesh,Tier1_Metro,MC2,dink_couple,couple,self/cook/delivery,medium,default,BF_FERMENTED_CREPE_PAN|BF_BREAD_MODERN_FAST|BF_STUFFED_FLATBREAD|BF_STEAMED_FERMENTED_LIGHT|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_PANEER_HOME_DRY|LD_OUTSIDE_DELIVERY_INDIAN|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE,SN_BAKERY_CAFE|SN_STREET_CHAAT|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_WEEKEND_INDULGENCE|DN_GRILLED_TIKKA_BOWL|DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM|DN_LIGHT_ROTI_SABZI,BF_FERMENTED_CREPE_PAN|BF_BREAD_MODERN_FAST|BF_STUFFED_FLATBREAD|BF_STEAMED_FERMENTED_LIGHT|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_PANEER_HOME_DRY|LD_OUTSIDE_DELIVERY_INDIAN|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI,SN_BAKERY_CAFE|SN_STREET_CHAAT|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_WEEKEND_INDULGENCE|DN_GRILLED_TIKKA_BOWL|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|DN_LIGHT_ROTI_SABZI
S01_T1_P05,Andhra Pradesh,Tier1_Metro,MC2,newly_married_mixed_state,couple,self/cook learning,medium,default,BF_FERMENTED_CREPE_PAN|BF_STUFFED_FLATBREAD|BF_POHA_CHIVDA_LIGHT|BF_STEAMED_FERMENTED_LIGHT|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST,LD_DAL_ROTI_SABZI|LD_WEEKEND_SPECIAL_REGIONAL|LD_RICE_PULAO_VEG|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE,SN_STREET_CHAAT|SN_STEAMED_SNACK|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,DN_WEEKEND_INDULGENCE|DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_LIGHT_ROTI_SABZI,BF_FERMENTED_CREPE_PAN|BF_STUFFED_FLATBREAD|BF_POHA_CHIVDA_LIGHT|BF_STEAMED_FERMENTED_LIGHT|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST,LD_DAL_ROTI_SABZI|LD_WEEKEND_SPECIAL_REGIONAL|LD_RICE_PULAO_VEG|LD_VEG_BIRYANI_SPECIAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN,SN_STREET_CHAAT|SN_STEAMED_SNACK|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_FRIED_PAKORA_SAMOSA|SN_CURD_CHAAS_LASSI,DN_WEEKEND_INDULGENCE|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
S01_T1_P06,Andhra Pradesh,Tier1_Metro,MC2,planning_pregnancy,couple,self/cook,medium,default,BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD|BF_DIABETIC_LOW_GI|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_POHA_CHIVDA_LIGHT,LD_HIGH_PROTEIN_VEG_PLATE|LD_DAL_ROTI_SABZI|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP|DN_CURD_RICE_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_LOW_CARB_DINNER|DN_LIGHT_ROTI_SABZI,BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD|BF_DIABETIC_LOW_GI|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_POHA_CHIVDA_LIGHT,LD_HIGH_PROTEIN_VEG_PLATE|LD_DAL_ROTI_SABZI|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
S01_T1_P07,Andhra Pradesh,Tier1_Metro,MC2,pregnant_household,couple/family,cook/self,medium,default,BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_POHA_CHIVDA_LIGHT,LD_DAL_RICE_COMFORT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP|DN_CURD_RICE_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_LOW_CARB_DINNER|DN_LIGHT_ROTI_SABZI,BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_POHA_CHIVDA_LIGHT,LD_DAL_RICE_COMFORT|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
S01_T1_P08,Andhra Pradesh,Tier1_Metro,MC2,couple_with_infant_0_6m,couple with infant,cook/caregiver constrained,very high,default,BF_UPMA_DALIA_SEVAI|BF_CHILLA_PROTEIN|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_ONE_POT_PRESSURE|LD_DAL_RICE_COMFORT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_KHICHDI_SOUP|DN_LIGHT_DAL_RICE|DN_CURD_RICE_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_LOW_CARB_DINNER|DN_LIGHT_ROTI_SABZI,BF_UPMA_DALIA_SEVAI|BF_CHILLA_PROTEIN|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_ONE_POT_PRESSURE|LD_DAL_RICE_COMFORT|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_KHICHDI_SOUP|DN_LIGHT_DAL_RICE|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
S01_T1_P09,Andhra Pradesh,Tier1_Metro,MC2,couple_with_baby_6_18m,couple with baby,cook/caregiver constrained,very high,default,BF_UPMA_DALIA_SEVAI|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_LIGHT_KHICHDI|LD_DAL_RICE_COMFORT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_KHICHDI_SOUP|DN_CURD_RICE_LIGHT|DN_LIGHT_DAL_RICE|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_LIGHT_ROTI_SABZI,BF_UPMA_DALIA_SEVAI|BF_STEAMED_FERMENTED_LIGHT|BF_FERMENTED_CREPE_PAN|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_LIGHT_KHICHDI|LD_DAL_RICE_COMFORT|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_KHICHDI_SOUP|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
S01_T1_P10,Andhra Pradesh,Tier1_Metro,MC3,family_with_toddler,family toddler,cook/self,high,default,BF_STEAMED_FERMENTED_LIGHT|BF_CHILLA_PROTEIN|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|LD_SOUTH_TAMARIND_LEMON_RICE,SN_FRUIT_CHAAT|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_LIGHT_DAL_RICE|DN_CURD_RICE_LIGHT|LD_SOUTH_SAMBAR_RASAM|LD_SOUTH_CURD_RICE|DN_KHICHDI_SOUP|DN_LIGHT_ROTI_SABZI,BF_STEAMED_FERMENTED_LIGHT|BF_CHILLA_PROTEIN|BF_FERMENTED_CREPE_PAN|BF_UPMA_DALIA_SEVAI|BF_RICE_LEFTOVER_BREAKFAST|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI,SN_FRUIT_CHAAT|SN_SOUTH_TIFFIN_SNACK|SN_TEA_BISCUIT_RUSK|SN_STEAMED_SNACK|SN_FRIED_PAKORA_SAMOSA,DN_LIGHT_DAL_RICE|LD_VEG_BIRYANI_SPECIAL|LD_WEEKEND_SPECIAL_REGIONAL|LD_FESTIVE_THALI|LD_OUTSIDE_DELIVERY_INDIAN|DN_LIGHT_ROTI_SABZI
