persona_id,persona_name,age_band,household_stage,lifecycle_health,cook_dependency,time_pressure,nonveg_mode,bf_boost_classes,ld_boost_classes,sn_boost_classes,dn_boost_classes,main_cohort_id,sub_cohort_id,sub_cohort_label,can_be_overlay
P01,Solo student/hostel budget,18-25,single/flatmate,none,canteen/PG/low cook,high,default,BF_BREAD_MODERN_FAST|BF_POHA_CHIVDA_LIGHT|BF_UPMA_DALIA_SEVAI,LD_ONE_POT_PRESSURE|LD_LEFTOVER_REUSE|LD_OUTSIDE_DELIVERY_INDIAN,SN_TEA_BISCUIT_RUSK|SN_MOMO_NOODLES_SNACK,DN_ONE_POT_DINNER|DN_LEFTOVER_THALI,MC1,SC1A,student_hostel_budget,N
P02,Solo young professional,23-32,single,none,self cook + delivery,high,default,BF_POHA_CHIVDA_LIGHT|BF_STUFFED_FLATBREAD|BF_UPMA_DALIA_SEVAI|BF_FRIED_FESTIVE,LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI|LD_ONE_POT_PRESSURE|LD_OUTSIDE_DELIVERY_INDIAN,SN_NAMKEEN_CHIVDA|SN_STREET_CHAAT|SN_HEALTHY_PROTEIN_SNACK,DN_LIGHT_ROTI_SABZI|DN_ONE_POT_DINNER|DN_WEEKEND_INDULGENCE,MC1,SC1B,solo_young_professional,N
P03,Working woman living alone,25-38,single,health intent,self/cook partial,very high,default,BF_CHILLA_PROTEIN|BF_OATS_MUESLI_FIT|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_MODERN_SALAD_BOWL|LD_ONE_POT_PRESSURE,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS,DN_KHICHDI_SOUP|DN_LOW_CARB_DINNER|DN_LIGHT_ROTI_SABZI,MC1,SC1C,working_woman_alone,Y
P04,DINK couple no children,26-40,couple,none,self/cook/delivery,medium,default,BF_FERMENTED_CREPE_PAN|BF_BREAD_MODERN_FAST|BF_STUFFED_FLATBREAD,LD_DAL_ROTI_SABZI|LD_PANEER_HOME_DRY|LD_OUTSIDE_DELIVERY_INDIAN,SN_BAKERY_CAFE|SN_STREET_CHAAT,DN_FAMILY_COMFORT_MEAL|DN_WEEKEND_INDULGENCE|DN_GRILLED_TIKKA_BOWL,MC2,SC2A,dink_couple,N
P05,Newly married mixed-state couple,24-34,couple,none,self/cook learning,medium,default,BF_FERMENTED_CREPE_PAN|BF_STUFFED_FLATBREAD|BF_POHA_CHIVDA_LIGHT,LD_DAL_ROTI_SABZI|LD_WEEKEND_SPECIAL_REGIONAL|LD_RICE_PULAO_VEG,SN_STREET_CHAAT|SN_STEAMED_SNACK,DN_FAMILY_COMFORT_MEAL|DN_WEEKEND_INDULGENCE,MC2,SC2B,newly_married_mixed_state,N
P06,Couple planning pregnancy,27-38,couple,preconception,self/cook,medium,default,BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD|BF_DIABETIC_LOW_GI,LD_PREGNANCY_BALANCED|LD_HIGH_PROTEIN_VEG_PLATE|LD_DAL_ROTI_SABZI,SN_FRUIT_CHAAT|SN_ROASTED_CHANA_NUTS,DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP,MC2,SC2C,planning_pregnancy,Y
P07,Pregnant woman household,24-38,couple/family,pregnancy,cook/self,medium,default,BF_LACTATION_MOTHER|BF_CHILLA_PROTEIN|BF_SPROUTS_FRUIT_CURD,LD_PREGNANCY_BALANCED|LD_ELDERLY_SOFT_DIGESTIVE|LD_DAL_RICE_COMFORT,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI,DN_LIGHT_DAL_RICE|DN_KHICHDI_SOUP,MC2,SC2D,pregnant_household,Y
P08,Couple with infant 0-6 months,26-40,couple with infant,infant 0-6m,cook/caregiver constrained,very high,default,BF_LACTATION_MOTHER|BF_UPMA_DALIA_SEVAI|BF_CHILLA_PROTEIN,LD_LACTATION_POSTPARTUM|LD_ONE_POT_PRESSURE|LD_DAL_RICE_COMFORT,SN_FRUIT_CHAAT|SN_CURD_CHAAS_LASSI,DN_KHICHDI_SOUP|DN_LIGHT_DAL_RICE,MC2,SC2E,couple_with_infant_0_6m,N
P09,Couple with baby 6-18 months,27-42,couple with baby,baby 6-18m,cook/caregiver constrained,very high,default,BF_INFANT_6M_SOFT|BF_KID_TIFFIN|BF_UPMA_DALIA_SEVAI,LD_CHILD_MILD_PLATE|LD_LIGHT_KHICHDI|LD_DAL_RICE_COMFORT,SN_FRUIT_CHAAT|SN_KIDS_TIFFIN_SNACK,DN_CHILD_FRIENDLY_DINNER|DN_KHICHDI_SOUP,MC2,SC2F,couple_with_baby_6_18m,N
P10,Nuclear family with toddler,28-42,family toddler,toddler,cook/self,high,default,BF_KID_TIFFIN|BF_STEAMED_FERMENTED_LIGHT|BF_CHILLA_PROTEIN,LD_CHILD_MILD_PLATE|LD_DAL_ROTI_SABZI|LD_SIMPLE_GREEN_VEG_SABZI,SN_KIDS_TIFFIN_SNACK|SN_FRUIT_CHAAT,DN_CHILD_FRIENDLY_DINNER|DN_LIGHT_DAL_RICE,MC3,SC3A,family_with_toddler,N
